Country,GHG_Emission_Per_Capita,Total GHG Emissions (tonnes?),GDP per capita (current $US),GDP per capita growth (% change),GINI_Index
Afghanistan,0.705148264,38457457.73,357.2611528,-7.576668912,
Albania,2.812409885,9252881.797,6846.426694,6.108947895,
Algeria,5.787845472,276297070,4961.552577,1.968251881,
American Samoa,0.175830541,8376.265507,18017.45894,3.593276063,
Angola,1.886087984,136889647.6,2929.694455,-0.143628268,
Antigua and Barbuda,4.010124946,320252.2026,20105.19891,8.530771197,
Argentina,8.253217325,422244981,13935.68111,5.048195323,40.7
Armenia,3.490670888,7050285.565,6571.974455,12.33833356,27.9
Aruba,4.972509552, ,30559.53353,8.912308079,
Australia,21.87289816,513981380,64997.01365,2.924100641,
Austria,8.339940572,75225632.11,52176.66491,4.275933279,30.9
Azerbaijan,5.820126219,65510876.67,7770.594223,4.673318014, 
"Bahamas, The",4.924057574,-2278057.503,34957.16133,10.55252448,
Bahrain,40.99546597,69957211.88,30470.52193,4.764512125, 
Bangladesh,1.644118838,281425865.8,2716.485928,6.008474629,30.9
Barbados,3.371375541,872976.5869,22164.02603,17.76149167,
Belarus,9.406418741,61652259.56,7994.648061,-3.888540083,
Belgium,9.612815181,113548826.4,50822.25185,3.420168308,26.4
Belize,2.213377101,-6002119.871,7068.454783,7.64170339,
Benin,1.207529256,16725328.9,1266.42711,3.58043408,
Bermuda,5.56919798,353852.5529,121613.94,6.310136679,
Bhutan,4.120300059,-4906700.742,3711.32768,4.476615996,28.5
Bolivia,4.430058605,94598969.64,3643.92827,2.40643659,41.2
Bosnia and Herzegovina,9.435746733,22743023.9,7655.59421,5.531108829,
Botswana,5.079200227,9762237.269,8328.709057,3.823630843,
Brazil,6.174273857,1675902944,9281.333344,2.646315324,52
British Virgin Islands,2.270414155,75377.58068, ,-2.416609684,
Brunei Darussalam,26.10470606,12149805.39,36632.92804,4.717940257,
Bulgaria,9.935287901,58495089.56,13999.67192,-0.819552931,38.2
Burkina Faso,1.511437317,80623073.11,836.1183046,-0.869930825,
Burundi,0.525196986,6592944.227,250.6342254,15.15450811,
Cabo Verde,2.425631228,1067322.228,4323.31362,3.7400092,
Cambodia,2.76711218,90409047.54,2325.0305,1.045029975,
Cameroon,1.429071301,-33430683.08,1604.87727,2.326415945,
Canada,19.14029082,749202881.3,56256.80073,14.55415214,
Cayman Islands,5.182215642,344836.7197,92202.1478,2.978027288,
Central African Republic,2.554766647,-215522808.6,467.359825,0.730965732,
Chad,4.932654635,89183316.87,966.0364683,9.060809281,37.4
Chile,6.412712583,68046948.15,15405.61658,1.648778132,43
China,10.7349599,14511221700,12970.60564,3.147699821,36
Colombia,4.118951847,313480985.2,6680.445069,6.187799537,54.8
Comoros,0.908308439,-1077854.896,1533.877553,0.844578877,
"Congo, Dem. Rep.",0.542883262,52948510.18,642.6122671,5.469359924,
"Congo, Rep.",3.931498115,-3519585.729,2620.838043,-0.927744025,
Costa Rica,3.134166968,13861415.79,13625.90085,4.103454958,47.2
Cote d'Ivoire,1.058354923,56746990.16,2333.371283,3.756020846,
Croatia,6.481516303,18634505.68,18466.09555,7.937400538,30
Cuba,3.457271456,17719556.45, ,2.348789668,
Cyprus,7.568444535,10280233.72,33894.44922,5.754606163,31.5
Czechia,11.61259649,137748441,28282.22367,1.244094732,25.9
Denmark,7.322688304,48652583.02,68091.31911,0.743682018,29.3
Djibouti,1.866069356,-4767703.96,3133.257798,3.700803899,
Dominica,2.133899979,-2614623.408,9323.660895,11.0179611,
Dominican Republic,4.132623923,44058961.71,10104.24493,4.232891968,37
Ecuador,3.964576321,96755008.98,6515.585284,5.02829597,45.5
"Egypt, Arab Rep.",2.959945657,377749560.4,4233.307837,5.01555865,
El Salvador,1.993975147,12729863.1,5074.602102,2.552374867,38.8
Equatorial Guinea,4.533848615,20104804.88,7589.299649,0.661786259,38.5
Eritrea,1.868044876,6739899.958, ,1971,
Estonia,11.54199164,14741531.01,28451.14778,-1.268031117,32.3
Eswatini,2.661542993,-112151.2612,3889.65277,0.097209459,
Ethiopia,1.330572626,225039932.3,1011.073324,2.595399676,
Faroe Islands,0.938305487,51028.45617,66139.38097,2.361597138,
Fiji,3.598782713,3542338.959,5405.030062,19.43950686,
Finland,8.678812103,34713965.03,50440.56022,0.489394589,27.9
France,6.113451969,411378440.9,41082.81193,2.235989289,31.2
French Polynesia,4.749659388,1122112.222,20738.65,4.248041248,
Gabon,8.127501546,-90174328.33,8409.207415,0.747533659,
"Gambia, The",0.72760168,3535455.407,836.2448756,3.073814015,
Georgia,5.043741391,13091458.18,6729.846599,10.84220881,33.5
Germany,9.093100508,769354174.6,49686.11546,0.641609114,
Ghana,1.454181995,65917332.74,2229.891226,1.830512477,
Gibraltar,18.57002313,688964.0147, ,,
Greece,7.009219803,72013186.67,20971.83493,7.084329926,
Greenland,11.30936623,539506.9796,55635.00065,1.990153725,
Grenada,1.64481281,17074.37584,10535.45888,7.114200995,33.5
Guam,0.092020826,40932.32787,41833.15171,4.177265865,
Guatemala,2.370623688,47372330.56,5358.701275,2.72968988,
Guinea,1.989379399,62880412.09,1416.59612,1.42306328,
Guinea-Bissau,1.424392635,2673335.689,873.4378619,3.243892448,
Guyana,10.08377179,54092210.09,17913.49281,62.11107131,
Haiti,1.174640369,16023259.57,1760.626357,-2.784680848,
Honduras,2.112650078,18419005.94,3003.289968,2.411845511,
"Hong Kong SAR, China",5.176392916,39140074.08,48825.84419,-2.805300449,
Hungary,6.691203004,59335942.84,18483.63669,4.551055711,
Iceland,11.44258029,10419599.21,75121.01523,6.273631939,
India,2.734071514,3632980459,2347.448294,6.762386017,25.5
Indonesia,4.134145583,2165636265,4730.834848,4.524475766,35.5
"Iran, Islamic Rep.",10.72887338,973360167.7,4405.092915,2.53772563,34.8
Iraq,8.288891146,367941099.1,6520.731546,5.510978021,
Ireland,11.58267784,68254084.57,105234.5116,6.488906436,29.9
Israel,8.447481036,87497372.71,54949.62156,4.194145643,
Italy,6.830985439,361567758.9,35653.90421,5.033445487,33.7
Jamaica,2.696622644,6080846.171,6022.153398,5.167336668,
Japan,8.851755424,1130021622,34065.6439,1.391027549,
